PLAYER,POSITION,AGE,FG,FT,AST,STL,BLK,TOV,PF,POINTS,TEAM,SALARYMILL,PAGEVIEWS
LeBron James,SF,32,9.9,4.8,8.7,1.2,0.6,4.1,1.8,26.4,CLE,30.96,14704
Al Horford,C,30,5.6,1.6,5,0.8,1.3,1.7,2,14,BOS,26.54,870
James Harden,PG,27,8.3,9.2,11.2,1.5,0.5,5.7,2.7,29.1,HOU,26.5,3279
Russell Westbrook,PG,28,10.2,8.8,10.4,1.6,0.4,5.4,2.3,31.6,OKC,26.5,4279
Kevin Durant,SF,28,8.9,5.4,4.8,1.1,1.6,2.2,1.9,25.1,GS,26.5,6288.5
Dirk Nowitzki,PF,38,5.5,1.8,1.5,0.6,0.7,0.9,2.1,14.2,DAL,25,2960
Carmelo Anthony,SF,32,8.1,4.1,2.9,0.8,0.5,2.1,2.7,22.4,NY,24.56,3773.5
Damian Lillard,PG,26,8.8,6.5,5.9,0.9,0.3,2.6,2,27,POR,24.33,1830.5
Dwyane Wade,SG,35,6.9,3.7,3.8,1.4,0.7,2.3,1.9,18.3,CHI,23.2,4671
Dwight Howard,C,31,5.2,3.1,1.4,0.9,1.2,2.3,2.7,13.5,ATL,23.18,2558.5
Chris Paul,PG,31,6.1,3.8,9.2,2,0.1,2.4,2.4,18.1,LAC,22.87,2689.5
Bradley Beal,SG,23,8.3,3.7,3.5,1.1,0.3,2,2.2,23.1,WSH,22.12,413.5
Chandler Parsons,SF,28,2.2,1,1.6,0.6,0.1,0.7,1.5,6.2,MEM,22.12,555.5
Derrick Rose,PG,28,7.2,3.5,4.4,0.7,0.3,2.3,1.3,18,NY,21.32,3273.5
Marc Gasol,C,32,7.2,3.8,4.6,0.9,1.3,2.2,2.3,19.5,MEM,21.17,825
Kevin Love,PF,28,6.2,4.3,1.9,0.9,0.4,2,2.1,19,CLE,21.17,2013.5
Nicolas Batum,SG,28,5.1,3.2,5.9,1.1,0.4,2.5,1.4,15.1,CHA,20.87,374.5
LaMarcus Aldridge,PF,31,6.9,3.1,1.9,0.6,1.2,1.4,2.2,17.3,SA,20.58,958
Blake Griffin,PF,27,7.9,5.2,4.9,0.9,0.4,2.3,2.6,21.6,LAC,20.14,2257
Paul Millsap,PF,31,6.2,4.5,3.7,1.3,0.9,2.3,2.7,18.1,ATL,20.07,436.5
Paul George,SF,26,8.3,4.5,3.3,1.6,0.4,2.9,2.7,23.7,IND,18.31,1600
Luol Deng,SF,31,2.9,0.8,1.3,0.9,0.4,0.8,1.1,7.6,LAL,18,838
Kawhi Leonard,SF,25,8.6,6.3,3.5,1.8,0.7,2.1,1.6,25.5,SA,17.64,2446.5
Kyrie Irving,PG,24,9.3,4.1,5.8,1.2,0.3,2.5,2.2,25.2,CLE,17.64,4796
Tobias Harris,PF,24,6.2,2.3,1.7,0.7,0.5,1.2,1.6,16.1,DET,17.2,327
Enes Kanter,C,24,5.6,3.1,0.9,0.4,0.5,1.7,2.1,14.3,OKC,17.15,713
Joakim Noah,C,31,2.2,0.7,2.2,0.7,0.8,1.3,2.8,5,NY,17,1202.5
DeMarcus Cousins,C,26,9,7.2,4.6,1.4,1.3,3.7,3.9,27,NO/SAC,16.96,1625.5
Klay Thompson,SG,26,8.3,2.4,2.1,0.8,0.5,1.6,1.8,22.3,GS,16.66,3708
Evan Turner,SF,28,3.6,1.3,3.2,0.8,0.4,1.5,1.9,9,POR,16.39,564
Gordon Hayward,SF,26,7.5,5,3.5,1,0.3,1.9,1.6,21.9,UTAH,16.07,689
Pau Gasol,C,36,4.7,2,2.3,0.4,1.1,1.3,1.7,12.4,SA,15.5,1983.5
Tristan Thompson,C,25,3.4,1.4,1,0.5,1.1,0.8,2.3,8.1,CLE,15.33,1365.5
Draymond Green,PF,26,3.6,2,7,2,1.4,2.4,2.9,10.2,GS,15.33,2946
